Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
CDI_Spread,CYREA4,123,1.2300,53,0.0000,NÃO,0.3378,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAA2,242,2.4200,32,0.0000,NÃO,0.3080,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAA4,398,3.9800,26,0.0000,NÃO,0.3298,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAA5,338,3.3800,141,0.0000,NÃO,0.0434,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAB4,309,3.0900,30,0.0000,NÃO,0.5707,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAB5,412,4.1200,159,0.0000,NÃO,0.9794,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DASAC5,679,6.7900,149,0.0000,NÃO,0.0443,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,DESK13,191,1.9100,6,0.0175,NÃO,0.5316,SIM,0.0489,NÃO,NÃO,0,0,0,1
CDI_Spread,DIRR16,146,1.4600,3,0.2621,SIM,0.7218,SIM,0.5005,SIM,SIM,1,1,1,1
CDI_Spread,EATE19,46,0.4600,15,0.0000,NÃO,0.0565,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,EBENA3,186,1.8600,35,0.0000,NÃO,0.0457,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ECHP13,35,0.3500,12,0.0000,NÃO,0.0000,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ECOS14,65,0.6500,4,0.0046,NÃO,0.4650,SIM,0.0139,NÃO,NÃO,0,0,0,1
CDI_Spread,ELDC14,322,3.2200,4,0.6738,SIM,0.7507,SIM,0.8702,SIM,SIM,1,1,1,1
CDI_Spread,ELET13,479,4.7900,13,0.0019,NÃO,0.3939,SIM,0.0055,NÃO,NÃO,0,0,0,0
CDI_Spread,ELET22,163,1.6300,4,0.1155,SIM,0.6972,SIM,0.2687,SIM,SIM,1,1,1,1
